round,week,day,date,time,home_team,score,away_team,attendance,venue,referee,match_report,notes,game_id
Regular season,14,Sat,2014-12-06,18:30,Bayern Munich,1–0,Leverkusen,71000,Allianz Arena,Knut Kircher,/en/matches/9a7f1a97/Bayern-Munich-Bayer-Leverkusen-December-6-2014-Bundesliga,,9a7f1a97
Regular season,14,Sat,2014-12-06,15:30,Hannover 96,1–3,Wolfsburg,41400,HDI-Arena,Markus Schmidt,/en/matches/70a0438e/Hannover-96-Wolfsburg-December-6-2014-Bundesliga,,70a0438e
Regular season,14,Sat,2014-12-06,15:30,Köln,1–2,Augsburg,48500,RheinEnergieSTADION,Tobias Welz,/en/matches/061098ca/Koln-Augsburg-December-6-2014-Bundesliga,,061098ca
Regular season,14,Sat,2014-12-06,15:30,M'Gladbach,3–2,Hertha BSC,50190,Stadion im Borussia-Park,Marco Fritz,/en/matches/e682df44/Monchengladbach-Hertha-BSC-December-6-2014-Bundesliga,,e682df44
Regular season,14,Sat,2014-12-06,15:30,Paderborn 07,1–1,Freiburg,14738,Benteler-Arena,Peter Sippel,/en/matches/d581a513/Paderborn-07-Freiburg-December-6-2014-Bundesliga,,d581a513
Regular season,14,Sat,2014-12-06,15:30,Stuttgart,0–4,Schalke 04,44700,Mercedes-Benz Arena,Florian Meyer,/en/matches/a31a6256/Stuttgart-Schalke-04-December-6-2014-Bundesliga,,a31a6256
Regular season,14,Sun,2014-12-07,17:30,Eint Frankfurt,5–2,Werder Bremen,46800,Commerzbank-Arena,Christian Dingert,/en/matches/bd7c5920/Eintracht-Frankfurt-Werder-Bremen-December-7-2014-Bundesliga,,bd7c5920
Regular season,14,Sun,2014-12-07,15:30,Hamburger SV,2–1,Mainz 05,45968,Volksparkstadion,Sascha Stegemann,/en/matches/46be3669/Hamburger-SV-Mainz-05-December-7-2014-Bundesliga,,46be3669
Regular season,15,Fri,2014-12-12,20:30,Hoffenheim,3–2,Eint Frankfurt,28331,PreZero Arena,Jochen Drees,/en/matches/10f08af3/Hoffenheim-Eintracht-Frankfurt-December-12-2014-Bundesliga,,10f08af3
Regular season,15,Sat,2014-12-13,15:30,Augsburg,0–4,Bayern Munich,30660,WWK Arena,Tobias Stieler,/en/matches/dec8341e/Augsburg-Bayern-Munich-December-13-2014-Bundesliga,,dec8341e
Regular season,15,Sat,2014-12-13,15:30,Freiburg,0–0,Hamburger SV,24000,Schwarzwald-Stadion,Wolfgang Stark,/en/matches/68b0d363/Freiburg-Hamburger-SV-December-13-2014-Bundesliga,,68b0d363
Regular season,15,Sat,2014-12-13,15:30,Hertha BSC,1–0,Dortmund,75254,Olympiastadion Berlin,Günter Perl,/en/matches/c447c9b0/Hertha-BSC-Dortmund-December-13-2014-Bundesliga,,c447c9b0
Regular season,15,Sat,2014-12-13,18:30,Mainz 05,1–1,Stuttgart,29279,Opel Arena,Bastian Dankert,/en/matches/226c79ed/Mainz-05-Stuttgart-December-13-2014-Bundesliga,,226c79ed
Regular season,15,Sat,2014-12-13,15:30,Schalke 04,1–2,Köln,61516,Veltins-Arena,Felix Brych,/en/matches/68df4bb7/Schalke-04-Koln-December-13-2014-Bundesliga,,68df4bb7
Regular season,15,Sat,2014-12-13,15:30,Werder Bremen,3–3,Hannover 96,40932,Weserstadion,Tobias Welz,/en/matches/2725ba86/Werder-Bremen-Hannover-96-December-13-2014-Bundesliga,,2725ba86
Regular season,15,Sun,2014-12-14,15:30,Leverkusen,1–1,M'Gladbach,30210,BayArena,Peter Gagelmann,/en/matches/7bbf445b/Bayer-Leverkusen-Monchengladbach-December-14-2014-Bundesliga,,7bbf445b
Regular season,15,Sun,2014-12-14,17:30,Wolfsburg,1–1,Paderborn 07,26044,Volkswagen Arena,Manuel Gräfe,/en/matches/1d6a60d1/Wolfsburg-Paderborn-07-December-14-2014-Bundesliga,,1d6a60d1
Regular season,16,Tue,2014-12-16,20:00,Bayern Munich,2–0,Freiburg,71000,Allianz Arena,Jochen Drees,/en/matches/4796a6e0/Bayern-Munich-Freiburg-December-16-2014-Bundesliga,,4796a6e0
Regular season,16,Tue,2014-12-16,20:00,Hamburger SV,0–1,Stuttgart,48223,Volksparkstadion,Felix Brych,/en/matches/ff2af017/Hamburger-SV-Stuttgart-December-16-2014-Bundesliga,,ff2af017
Regular season,16,Tue,2014-12-16,20:00,Hannover 96,2–0,Augsburg,30800,HDI-Arena,Christian Dingert,/en/matches/ee3d88fe/Hannover-96-Augsburg-December-16-2014-Bundesliga,,ee3d88fe
Regular season,16,Tue,2014-12-16,20:00,Köln,0–0,Mainz 05,42900,RheinEnergieSTADION,Florian Meyer,/en/matches/71a51b58/Koln-Mainz-05-December-16-2014-Bundesliga,,71a51b58
Regular season,16,Wed,2014-12-17,20:00,Dortmund,2–2,Wolfsburg,80467,Signal Iduna Park,Tobias Welz,/en/matches/cbdde8df/Dortmund-Wolfsburg-December-17-2014-Bundesliga,,cbdde8df
Regular season,16,Wed,2014-12-17,20:00,Eint Frankfurt,4–4,Hertha BSC,40200,Commerzbank-Arena,Guido Winkmann,/en/matches/7c0be3b7/Eintracht-Frankfurt-Hertha-BSC-December-17-2014-Bundesliga,,7c0be3b7
Regular season,16,Wed,2014-12-17,20:00,Hoffenheim,0–1,Leverkusen,24731,PreZero Arena,Daniel Siebert,/en/matches/443ac691/Hoffenheim-Bayer-Leverkusen-December-17-2014-Bundesliga,,443ac691
Regular season,16,Wed,2014-12-17,20:00,M'Gladbach,4–1,Werder Bremen,44513,Stadion im Borussia-Park,Robert Hartmann,/en/matches/506b62df/Monchengladbach-Werder-Bremen-December-17-2014-Bundesliga,,506b62df
Regular season,16,Wed,2014-12-17,20:00,Paderborn 07,1–2,Schalke 04,15000,Benteler-Arena,Marco Fritz,/en/matches/a76a4128/Paderborn-07-Schalke-04-December-17-2014-Bundesliga,,a76a4128
Regular season,17,Fri,2014-12-19,20:30,Mainz 05,1–2,Bayern Munich,34000,Opel Arena,Felix Zwayer,/en/matches/852aaa97/Mainz-05-Bayern-Munich-December-19-2014-Bundesliga,,852aaa97
Regular season,17,Sat,2014-12-20,15:30,Augsburg,2–1,M'Gladbach,30660,WWK Arena,Bastian Dankert,/en/matches/776d21ff/Augsburg-Monchengladbach-December-20-2014-Bundesliga,,776d21ff
Regular season,17,Sat,2014-12-20,15:30,Leverkusen,1–1,Eint Frankfurt,30210,BayArena,Wolfgang Stark,/en/matches/744a55d5/Bayer-Leverkusen-Eintracht-Frankfurt-December-20-2014-Bundesliga,,744a55d5
Regular season,17,Sat,2014-12-20,15:30,Schalke 04,0–0,Hamburger SV,61973,Veltins-Arena,Markus Schmidt,/en/matches/e2f01ea1/Schalke-04-Hamburger-SV-December-20-2014-Bundesliga,,e2f01ea1
Regular season,17,Sat,2014-12-20,15:30,Stuttgart,0–0,Paderborn 07,55000,Mercedes-Benz Arena,Tobias Stieler,/en/matches/edd415ed/Stuttgart-Paderborn-07-December-20-2014-Bundesliga,,edd415ed
Regular season,17,Sat,2014-12-20,15:30,Werder Bremen,2–1,Dortmund,42100,Weserstadion,Manuel Gräfe,/en/matches/091207ac/Werder-Bremen-Dortmund-December-20-2014-Bundesliga,,091207ac
Regular season,17,Sat,2014-12-20,18:30,Wolfsburg,2–1,Köln,26824,Volkswagen Arena,Peter Gagelmann,/en/matches/b03105fa/Wolfsburg-Koln-December-20-2014-Bundesliga,,b03105fa
Regular season,17,Sun,2014-12-21,17:30,Freiburg,2–2,Hannover 96,23550,Schwarzwald-Stadion,Günter Perl,/en/matches/7b9fd301/Freiburg-Hannover-96-December-21-2014-Bundesliga,,7b9fd301
Regular season,17,Sun,2014-12-21,15:30,Hertha BSC,0–5,Hoffenheim,39604,Olympiastadion Berlin,Peter Sippel,/en/matches/74be7d19/Hertha-BSC-Hoffenheim-December-21-2014-Bundesliga,,74be7d19
Regular season,18,Fri,2015-01-30,20:30,Wolfsburg,4–1,Bayern Munich,30000,Volkswagen Arena,Tobias Welz,/en/matches/4d7aca06/Wolfsburg-Bayern-Munich-January-30-2015-Bundesliga,,4d7aca06
Regular season,18,Sat,2015-01-31,15:30,Freiburg,4–1,Eint Frankfurt,24000,Schwarzwald-Stadion,Felix Zwayer,/en/matches/2662f9ea/Freiburg-Eintracht-Frankfurt-January-31-2015-Bundesliga,,2662f9ea
Regular season,18,Sat,2015-01-31,15:30,Hamburger SV,0–2,Köln,56053,Volksparkstadion,Wolfgang Stark,/en/matches/eb25330f/Hamburger-SV-Koln-January-31-2015-Bundesliga,,eb25330f
Regular season,18,Sat,2015-01-31,18:30,Leverkusen,0–0,Dortmund,30210,BayArena,Knut Kircher,/en/matches/7c6802b7/Bayer-Leverkusen-Dortmund-January-31-2015-Bundesliga,,7c6802b7
Regular season,18,Sat,2015-01-31,15:30,Mainz 05,5–0,Paderborn 07,27114,Opel Arena,Robert Hartmann,/en/matches/494c8209/Mainz-05-Paderborn-07-January-31-2015-Bundesliga,,494c8209
Regular season,18,Sat,2015-01-31,15:30,Schalke 04,1–0,Hannover 96,61646,Veltins-Arena,Sascha Stegemann,/en/matches/60b60729/Schalke-04-Hannover-96-January-31-2015-Bundesliga,,60b60729
Regular season,18,Sat,2015-01-31,15:30,Stuttgart,0–1,M'Gladbach,46200,Mercedes-Benz Arena,Christian Dingert,/en/matches/a23811d2/Stuttgart-Monchengladbach-January-31-2015-Bundesliga,,a23811d2
Regular season,18,Sun,2015-02-01,17:30,Augsburg,3–1,Hoffenheim,27090,WWK Arena,Florian Meyer,/en/matches/0ecd83a2/Augsburg-Hoffenheim-February-1-2015-Bundesliga,,0ecd83a2
Regular season,18,Sun,2015-02-01,15:30,Werder Bremen,2–0,Hertha BSC,40187,Weserstadion,Felix Brych,/en/matches/8ffe7312/Werder-Bremen-Hertha-BSC-February-1-2015-Bundesliga,,8ffe7312
Regular season,19,Tue,2015-02-03,20:00,Bayern Munich,1–1,Schalke 04,75000,Allianz Arena,Bastian Dankert,/en/matches/0c3ebea7/Bayern-Munich-Schalke-04-February-3-2015-Bundesliga,,0c3ebea7
Regular season,19,Tue,2015-02-03,20:00,Eint Frankfurt,1–1,Wolfsburg,34400,Commerzbank-Arena,Günter Perl,/en/matches/14100903/Eintracht-Frankfurt-Wolfsburg-February-3-2015-Bundesliga,,14100903
Regular season,19,Tue,2015-02-03,20:00,Hannover 96,1–1,Mainz 05,30500,HDI-Arena,Thorsten Kinhöfer,/en/matches/24b7c851/Hannover-96-Mainz-05-February-3-2015-Bundesliga,,24b7c851
Regular season,19,Tue,2015-02-03,20:00,M'Gladbach,1–0,Freiburg,37091,Stadion im Borussia-Park,Markus Schmidt,/en/matches/65097d42/Monchengladbach-Freiburg-February-3-2015-Bundesliga,,65097d42
Regular season,19,Wed,2015-02-04,20:00,Dortmund,0–1,Augsburg,80667,Signal Iduna Park,Marco Fritz,/en/matches/950346a9/Dortmund-Augsburg-February-4-2015-Bundesliga,,950346a9
Regular season,19,Wed,2015-02-04,20:00,Hertha BSC,0–1,Leverkusen,34636,Olympiastadion Berlin,Jochen Drees,/en/matches/beb18275/Hertha-BSC-Bayer-Leverkusen-February-4-2015-Bundesliga,,beb18275
Regular season,19,Wed,2015-02-04,20:00,Hoffenheim,1–2,Werder Bremen,23631,PreZero Arena,Guido Winkmann,/en/matches/f6be6cc3/Hoffenheim-Werder-Bremen-February-4-2015-Bundesliga,,f6be6cc3
Regular season,19,Wed,2015-02-04,20:00,Köln,0–0,Stuttgart,48400,RheinEnergieSTADION,Tobias Stieler,/en/matches/d10c7033/Koln-Stuttgart-February-4-2015-Bundesliga,,d10c7033
Regular season,19,Wed,2015-02-04,20:00,Paderborn 07,0–3,Hamburger SV,15000,Benteler-Arena,Peter Gagelmann,/en/matches/c785203c/Paderborn-07-Hamburger-SV-February-4-2015-Bundesliga,,c785203c
Regular season,20,Fri,2015-02-06,20:30,Schalke 04,1–0,M'Gladbach,61973,Veltins-Arena,Wolfgang Stark,/en/matches/3c19e99a/Schalke-04-Monchengladbach-February-6-2015-Bundesliga,,3c19e99a
Regular season,20,Sat,2015-02-07,15:30,Freiburg,0–3,Dortmund,24000,Schwarzwald-Stadion,Felix Brych,/en/matches/374cff06/Freiburg-Dortmund-February-7-2015-Bundesliga,,374cff06
Regular season,20,Sat,2015-02-07,18:30,Hamburger SV,2–1,Hannover 96,51779,Volksparkstadion,Manuel Gräfe,/en/matches/51e185e7/Hamburger-SV-Hannover-96-February-7-2015-Bundesliga,,51e185e7
Regular season,20,Sat,2015-02-07,15:30,Köln,0–0,Paderborn 07,49500,RheinEnergieSTADION,Christian Dingert,/en/matches/6fd39e0e/Koln-Paderborn-07-February-7-2015-Bundesliga,,6fd39e0e
Regular season,20,Sat,2015-02-07,15:30,Mainz 05,0–2,Hertha BSC,26756,Opel Arena,Deniz Aytekin,/en/matches/b53d64d4/Mainz-05-Hertha-BSC-February-7-2015-Bundesliga,,b53d64d4
Regular season,20,Sat,2015-02-07,15:30,Stuttgart,0–2,Bayern Munich,60000,Mercedes-Benz Arena,Florian Meyer,/en/matches/d235b501/Stuttgart-Bayern-Munich-February-7-2015-Bundesliga,,d235b501
Regular season,20,Sat,2015-02-07,15:30,Wolfsburg,3–0,Hoffenheim,26356,Volkswagen Arena,Jochen Drees,/en/matches/c3754d1e/Wolfsburg-Hoffenheim-February-7-2015-Bundesliga,,c3754d1e
Regular season,20,Sun,2015-02-08,17:30,Augsburg,2–2,Eint Frankfurt,27122,WWK Arena,Knut Kircher,/en/matches/6334f1ad/Augsburg-Eintracht-Frankfurt-February-8-2015-Bundesliga,,6334f1ad
Regular season,20,Sun,2015-02-08,15:30,Werder Bremen,2–1,Leverkusen,39653,Weserstadion,Peter Sippel,/en/matches/0145d74a/Werder-Bremen-Bayer-Leverkusen-February-8-2015-Bundesliga,,0145d74a
Regular season,21,Fri,2015-02-13,20:30,Dortmund,4–2,Mainz 05,80200,Signal Iduna Park,Tobias Stieler,/en/matches/e748f577/Dortmund-Mainz-05-February-13-2015-Bundesliga,,e748f577
Regular season,21,Sat,2015-02-14,15:30,Bayern Munich,8–0,Hamburger SV,75000,Allianz Arena,Michael Weiner,/en/matches/8ea1fef8/Bayern-Munich-Hamburger-SV-February-14-2015-Bundesliga,,8ea1fef8
Regular season,21,Sat,2015-02-14,18:30,Eint Frankfurt,1–0,Schalke 04,50400,Commerzbank-Arena,Marco Fritz,/en/matches/e5a56689/Eintracht-Frankfurt-Schalke-04-February-14-2015-Bundesliga,,e5a56689
Regular season,21,Sat,2015-02-14,15:30,Hoffenheim,2–1,Stuttgart,29309,PreZero Arena,Tobias Welz,/en/matches/e6e465d6/Hoffenheim-Stuttgart-February-14-2015-Bundesliga,,e6e465d6
Regular season,21,Sat,2015-02-14,15:30,Leverkusen,4–5,Wolfsburg,29227,BayArena,Bastian Dankert,/en/matches/301e028b/Bayer-Leverkusen-Wolfsburg-February-14-2015-Bundesliga,,301e028b
Regular season,21,Sat,2015-02-14,15:30,M'Gladbach,1–0,Köln,54010,Stadion im Borussia-Park,Deniz Aytekin,/en/matches/b7149cee/Monchengladbach-Koln-February-14-2015-Bundesliga,,b7149cee
Regular season,21,Sat,2015-02-14,15:30,Werder Bremen,3–2,Augsburg,39746,Weserstadion,Christian Dingert,/en/matches/4e75ab72/Werder-Bremen-Augsburg-February-14-2015-Bundesliga,,4e75ab72
Regular season,21,Sun,2015-02-15,17:30,Hannover 96,1–2,Paderborn 07,38300,HDI-Arena,Jochen Drees,/en/matches/5c484d2e/Hannover-96-Paderborn-07-February-15-2015-Bundesliga,,5c484d2e
Regular season,21,Sun,2015-02-15,15:30,Hertha BSC,0–2,Freiburg,38000,Olympiastadion Berlin,Thorsten Kinhöfer,/en/matches/f4899301/Hertha-BSC-Freiburg-February-15-2015-Bundesliga,,f4899301
Regular season,22,Fri,2015-02-20,20:30,Stuttgart,2–3,Dortmund,60000,Mercedes-Benz Arena,Deniz Aytekin,/en/matches/248bba11/Stuttgart-Dortmund-February-20-2015-Bundesliga,,248bba11
Regular season,22,Sat,2015-02-21,15:30,Augsburg,2–2,Leverkusen,28154,WWK Arena,Tobias Welz,/en/matches/64682d48/Augsburg-Bayer-Leverkusen-February-21-2015-Bundesliga,,64682d48
Regular season,22,Sat,2015-02-21,15:30,Freiburg,1–1,Hoffenheim,23800,Schwarzwald-Stadion,Peter Gagelmann,/en/matches/87855589/Freiburg-Hoffenheim-February-21-2015-Bundesliga,,87855589
Regular season,22,Sat,2015-02-21,18:30,Köln,1–1,Hannover 96,47300,RheinEnergieSTADION,Günter Perl,/en/matches/5f0b705c/Koln-Hannover-96-February-21-2015-Bundesliga,,5f0b705c
Regular season,22,Sat,2015-02-21,15:30,Mainz 05,3–1,Eint Frankfurt,33237,Opel Arena,Felix Brych,/en/matches/5c918e72/Mainz-05-Eintracht-Frankfurt-February-21-2015-Bundesliga,,5c918e72
Regular season,22,Sat,2015-02-21,15:30,Paderborn 07,0–6,Bayern Munich,15000,Benteler-Arena,Bastian Dankert,/en/matches/2834e61a/Paderborn-07-Bayern-Munich-February-21-2015-Bundesliga,,2834e61a
Regular season,22,Sat,2015-02-21,15:30,Schalke 04,1–1,Werder Bremen,61973,Veltins-Arena,Manuel Gräfe,/en/matches/b18f1f6c/Schalke-04-Werder-Bremen-February-21-2015-Bundesliga,,b18f1f6c
Regular season,22,Sun,2015-02-22,15:30,Hamburger SV,1–1,M'Gladbach,52105,Volksparkstadion,Felix Zwayer,/en/matches/0666d5b9/Hamburger-SV-Monchengladbach-February-22-2015-Bundesliga,,0666d5b9
Regular season,22,Sun,2015-02-22,17:30,Wolfsburg,2–1,Hertha BSC,27683,Volkswagen Arena,Guido Winkmann,/en/matches/3501c120/Wolfsburg-Hertha-BSC-February-22-2015-Bundesliga,,3501c120
Regular season,23,Fri,2015-02-27,20:30,Bayern Munich,4–1,Köln,75000,Allianz Arena,Daniel Siebert,/en/matches/925f411a/Bayern-Munich-Koln-February-27-2015-Bundesliga,,925f411a
Regular season,23,Sat,2015-02-28,15:30,Dortmund,3–0,Schalke 04,79500,Signal Iduna Park,Felix Zwayer,/en/matches/7fe77d94/Revierderby-Dortmund-Schalke-04-February-28-2015-Bundesliga,,7fe77d94
Regular season,23,Sat,2015-02-28,18:30,Eint Frankfurt,2–1,Hamburger SV,50500,Commerzbank-Arena,Florian Meyer,/en/matches/002afe67/Eintracht-Frankfurt-Hamburger-SV-February-28-2015-Bundesliga,,002afe67
Regular season,23,Sat,2015-02-28,15:30,Hannover 96,1–1,Stuttgart,40200,HDI-Arena,Wolfgang Stark,/en/matches/5d143d16/Hannover-96-Stuttgart-February-28-2015-Bundesliga,,5d143d16
Regular season,23,Sat,2015-02-28,15:30,Hertha BSC,1–0,Augsburg,36015,Olympiastadion Berlin,Tobias Stieler,/en/matches/16436e09/Hertha-BSC-Augsburg-February-28-2015-Bundesliga,,16436e09
Regular season,23,Sat,2015-02-28,15:30,Hoffenheim,2–0,Mainz 05,24310,PreZero Arena,Peter Sippel,/en/matches/449ce2f3/Hoffenheim-Mainz-05-February-28-2015-Bundesliga,,449ce2f3
Regular season,23,Sat,2015-02-28,15:30,Leverkusen,1–0,Freiburg,28624,BayArena,Robert Hartmann,/en/matches/48b2985b/Bayer-Leverkusen-Freiburg-February-28-2015-Bundesliga,,48b2985b
Regular season,23,Sun,2015-03-01,15:30,M'Gladbach,2–0,Paderborn 07,53152,Stadion im Borussia-Park,Michael Weiner,/en/matches/ba519022/Monchengladbach-Paderborn-07-March-1-2015-Bundesliga,,ba519022
Regular season,23,Sun,2015-03-01,17:30,Werder Bremen,3–5,Wolfsburg,40126,Weserstadion,Marco Fritz,/en/matches/3397bf58/Werder-Bremen-Wolfsburg-March-1-2015-Bundesliga,,3397bf58
Regular season,24,Fri,2015-03-06,20:30,Stuttgart,0–0,Hertha BSC,45420,Mercedes-Benz Arena,Felix Brych,/en/matches/a65cf6ae/Stuttgart-Hertha-BSC-March-6-2015-Bundesliga,,a65cf6ae
Regular season,24,Sat,2015-03-07,15:30,Augsburg,1–0,Wolfsburg,28721,WWK Arena,Manuel Gräfe,/en/matches/a2bc0c9b/Augsburg-Wolfsburg-March-7-2015-Bundesliga,,a2bc0c9b
Regular season,24,Sat,2015-03-07,15:30,Freiburg,0–1,Werder Bremen,24000,Schwarzwald-Stadion,Deniz Aytekin,/en/matches/37b29308/Freiburg-Werder-Bremen-March-7-2015-Bundesliga,,37b29308
Regular season,24,Sat,2015-03-07,15:30,Hamburger SV,0–0,Dortmund,57000,Volksparkstadion,Peter Gagelmann,/en/matches/85c5406c/Hamburger-SV-Dortmund-March-7-2015-Bundesliga,,85c5406c
Regular season,24,Sat,2015-03-07,15:30,Hannover 96,1–3,Bayern Munich,49000,HDI-Arena,Tobias Welz,/en/matches/13998111/Hannover-96-Bayern-Munich-March-7-2015-Bundesliga,,13998111
Regular season,24,Sat,2015-03-07,18:30,Mainz 05,2–2,M'Gladbach,34000,Opel Arena,Marco Fritz,/en/matches/568cfaac/Mainz-05-Monchengladbach-March-7-2015-Bundesliga,,568cfaac
Regular season,24,Sat,2015-03-07,15:30,Schalke 04,3–1,Hoffenheim,60607,Veltins-Arena,Bastian Dankert,/en/matches/77beeac3/Schalke-04-Hoffenheim-March-7-2015-Bundesliga,,77beeac3
Regular season,24,Sun,2015-03-08,15:30,Köln,4–2,Eint Frankfurt,50000,RheinEnergieSTADION,Knut Kircher,/en/matches/828e9078/Koln-Eintracht-Frankfurt-March-8-2015-Bundesliga,,828e9078
Regular season,24,Sun,2015-03-08,17:30,Paderborn 07,0–3,Leverkusen,14905,Benteler-Arena,Daniel Siebert,/en/matches/af87d3b1/Paderborn-07-Bayer-Leverkusen-March-8-2015-Bundesliga,,af87d3b1
Regular season,25,Fri,2015-03-13,20:30,Leverkusen,4–0,Stuttgart,29384,BayArena,Tobias Stieler,/en/matches/fc8ec636/Bayer-Leverkusen-Stuttgart-March-13-2015-Bundesliga,,fc8ec636
Regular season,25,Sat,2015-03-14,15:30,Augsburg,0–2,Mainz 05,28359,WWK Arena,Knut Kircher,/en/matches/e1804d09/Augsburg-Mainz-05-March-14-2015-Bundesliga,,e1804d09
Regular season,25,Sat,2015-03-14,18:30,Dortmund,0–0,Köln,80667,Signal Iduna Park,Markus Schmidt,/en/matches/7ac9405d/Dortmund-Koln-March-14-2015-Bundesliga,,7ac9405d
Regular season,25,Sat,2015-03-14,15:30,Eint Frankfurt,4–0,Paderborn 07,46000,Commerzbank-Arena,Guido Winkmann,/en/matches/1431ed00/Eintracht-Frankfurt-Paderborn-07-March-14-2015-Bundesliga,,1431ed00
Regular season,25,Sat,2015-03-14,15:30,Hertha BSC,2–2,Schalke 04,59156,Olympiastadion Berlin,Michael Weiner,/en/matches/04b8abc6/Hertha-BSC-Schalke-04-March-14-2015-Bundesliga,,04b8abc6
Regular season,25,Sat,2015-03-14,15:30,Hoffenheim,3–0,Hamburger SV,30150,PreZero Arena,Günter Perl,/en/matches/93316ea2/Hoffenheim-Hamburger-SV-March-14-2015-Bundesliga,,93316ea2
Regular season,25,Sat,2015-03-14,15:30,Werder Bremen,0–4,Bayern Munich,42100,Weserstadion,Thorsten Kinhöfer,/en/matches/6b5c0e1c/Werder-Bremen-Bayern-Munich-March-14-2015-Bundesliga,,6b5c0e1c
Regular season,25,Sun,2015-03-15,17:30,M'Gladbach,2–0,Hannover 96,49134,Stadion im Borussia-Park,Jochen Drees,/en/matches/3c06c334/Monchengladbach-Hannover-96-March-15-2015-Bundesliga,,3c06c334
Regular season,25,Sun,2015-03-15,15:30,Wolfsburg,3–0,Freiburg,26538,Volkswagen Arena,Sascha Stegemann,/en/matches/2b175252/Wolfsburg-Freiburg-March-15-2015-Bundesliga,,2b175252
Regular season,26,Fri,2015-03-20,20:30,Hamburger SV,0–1,Hertha BSC,53640,Volksparkstadion,Christian Dingert,/en/matches/a7a2a3ba/Hamburger-SV-Hertha-BSC-March-20-2015-Bundesliga,,a7a2a3ba
Regular season,26,Sat,2015-03-21,15:30,Freiburg,2–0,Augsburg,23700,Schwarzwald-Stadion,Felix Zwayer,/en/matches/d58065f8/Freiburg-Augsburg-March-21-2015-Bundesliga,,d58065f8
Regular season,26,Sat,2015-03-21,15:30,Hannover 96,2–3,Dortmund,49000,HDI-Arena,Felix Brych,/en/matches/5e911314/Hannover-96-Dortmund-March-21-2015-Bundesliga,,5e911314
Regular season,26,Sat,2015-03-21,15:30,Köln,1–1,Werder Bremen,50000,RheinEnergieSTADION,Robert Hartmann,/en/matches/010dda5d/Koln-Werder-Bremen-March-21-2015-Bundesliga,,010dda5d
Regular season,26,Sat,2015-03-21,15:30,Paderborn 07,0–0,Hoffenheim,14401,Benteler-Arena,Markus Schmidt,/en/matches/3eed212b/Paderborn-07-Hoffenheim-March-21-2015-Bundesliga,,3eed212b
Regular season,26,Sat,2015-03-21,18:30,Schalke 04,0–1,Leverkusen,61973,Veltins-Arena,Peter Gagelmann,/en/matches/2dd3faea/Schalke-04-Bayer-Leverkusen-March-21-2015-Bundesliga,,2dd3faea
Regular season,26,Sat,2015-03-21,15:30,Stuttgart,3–1,Eint Frankfurt,48500,Mercedes-Benz Arena,Jochen Drees,/en/matches/f131a6c1/Stuttgart-Eintracht-Frankfurt-March-21-2015-Bundesliga,,f131a6c1
Regular season,26,Sun,2015-03-22,17:30,Bayern Munich,0–2,M'Gladbach,75000,Allianz Arena,Frank Willenborg,/en/matches/33305dcb/Bayern-Munich-Monchengladbach-March-22-2015-Bundesliga,,33305dcb
Regular season,26,Sun,2015-03-22,15:30,Mainz 05,1–1,Wolfsburg,32236,Opel Arena,Wolfgang Stark,/en/matches/474b45a7/Mainz-05-Wolfsburg-March-22-2015-Bundesliga,,474b45a7
Regular season,27,Sat,2015-04-04,18:30,Dortmund,0–1,Bayern Munich,80667,Signal Iduna Park,Knut Kircher,/en/matches/aaff5c93/Der-Klassiker-Dortmund-Bayern-Munich-April-4-2015-Bundesliga,,aaff5c93
Regular season,27,Sat,2015-04-04,15:30,Eint Frankfurt,2–2,Hannover 96,49600,Commerzbank-Arena,Deniz Aytekin,/en/matches/aa464235/Eintracht-Frankfurt-Hannover-96-April-4-2015-Bundesliga,,aa464235
Regular season,27,Sat,2015-04-04,15:30,Freiburg,1–0,Köln,23800,Schwarzwald-Stadion,Bastian Dankert,/en/matches/9664995b/Freiburg-Koln-April-4-2015-Bundesliga,,9664995b
Regular season,27,Sat,2015-04-04,15:30,Hoffenheim,1–4,M'Gladbach,30150,PreZero Arena,Thorsten Kinhöfer,/en/matches/1427c764/Hoffenheim-Monchengladbach-April-4-2015-Bundesliga,,1427c764
Regular season,27,Sat,2015-04-04,15:30,Leverkusen,4–0,Hamburger SV,30210,BayArena,Manuel Gräfe,/en/matches/c20c273e/Bayer-Leverkusen-Hamburger-SV-April-4-2015-Bundesliga,,c20c273e
Regular season,27,Sat,2015-04-04,15:30,Werder Bremen,0–0,Mainz 05,41000,Weserstadion,Michael Weiner,/en/matches/877d0064/Werder-Bremen-Mainz-05-April-4-2015-Bundesliga,,877d0064
Regular season,27,Sat,2015-04-04,15:30,Wolfsburg,3–1,Stuttgart,30000,Volkswagen Arena,Tobias Welz,/en/matches/f568e2c4/Wolfsburg-Stuttgart-April-4-2015-Bundesliga,,f568e2c4
Regular season,27,Sun,2015-04-05,15:30,Augsburg,0–0,Schalke 04,30660,WWK Arena,Florian Meyer,/en/matches/6d2c2082/Augsburg-Schalke-04-April-5-2015-Bundesliga,,6d2c2082
Regular season,27,Sun,2015-04-05,17:30,Hertha BSC,2–0,Paderborn 07,44031,Olympiastadion Berlin,Peter Sippel,/en/matches/b4367f92/Hertha-BSC-Paderborn-07-April-5-2015-Bundesliga,,b4367f92
